E_lab	E*/MeV	191At	192At	193At	194At	195At	196At	197At
289.516	67.0	0.523E-03	0.612E-03	0.163E-03	0.433E-02	0.296E-02	0.319E-04	0.146E-07
290.913	68.0	0.551E-03	0.475E-03	0.243E-03	0.445E-02	0.228E-02	0.211E-04	0.000E+00
292.311	69.0	0.560E-03	0.364E-03	0.354E-03	0.446E-02	0.173E-02	0.139E-04	0.000E+00
293.708	70.0	0.549E-03	0.275E-03	0.497E-03	0.436E-02	0.122E-02	0.907E-05	0.000E+00
295.105	71.0	0.521E-03	0.205E-03	0.670E-03	0.416E-02	0.683E-03	0.590E-05	0.000E+00
296.502	72.0	0.482E-03	0.152E-03	0.104E-02	0.338E-02	0.258E-03	0.381E-05	0.000E+00
297.899	73.0	0.433E-03	0.111E-03	0.125E-02	0.303E-02	0.160E-03	0.245E-05	0.000E+00
299.296	74.0	0.381E-03	0.812E-04	0.146E-02	0.266E-02	0.103E-03	0.156E-05	0.000E+00
300.693	75.0	0.328E-03	0.593E-04	0.165E-02	0.230E-02	0.672E-04	0.991E-06	0.000E+00
302.091	76.0	0.277E-03	0.440E-04	0.181E-02	0.195E-02	0.445E-04	0.623E-06	0.000E+00
303.488	77.0	0.230E-03	0.341E-04	0.194E-02	0.163E-02	0.305E-04	0.389E-06	0.000E+00
304.885	78.0	0.188E-03	0.287E-04	0.201E-02	0.133E-02	0.226E-04	0.240E-06	0.000E+00
306.282	79.0	0.152E-03	0.276E-04	0.204E-02	0.107E-02	0.174E-04	0.146E-06	0.000E+00
307.679	80.0	0.121E-03	0.305E-04	0.202E-02	0.844E-03	0.661E-05	0.863E-07	0.000E+00


